woo_product_id,shopify_handle,title,status,vendor,product_type,tags,sku,price,compare_at_price,collection_handles,image_count,variant_count,legacy_woo_id_metafield,seo_title_source,seo_description_source
70,msmetics-diy-lashes,Msmetics Diy Lashes,active,Msmetics,Eyelash Extensions &amp; Glue,"Eyes, Eyelash Extensions &amp; Glue, Makeup",,5.0,,eyes|msmetics,0,5,70,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
76,sephora-powder,Sephora Microsmooth Multi-Tasking Baked Face Powder Foundation,active,Sephora,Powder,"Face, Makeup, Powder",,25.0,,face|sephora,2,12,76,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
82,milani-powder,Milani Powder,active,Milani,Powder,"Face, Makeup, Powder",,15.0,,face|milani,2,3,82,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
84,sooo-pro-seal-it-spray,Sooo Pro Seal It Spray,active,Sooo Pro,Setting &amp; Finishing Spray,"Face, Makeup, Setting &amp; Finishing Spray",,22.0,,face|sooo-pro,1,3,84,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
85,sooo-pro-highlighter,Sooo Pro Highlighter,active,Sooo Pro,Highlight &amp; Contour,"Face, Highlight &amp; Contour, Makeup",,16.0,,face|sooo-pro,1,5,85,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
86,sooo-pro-lipstain,Sooo Pro Lipstain,active,Sooo Pro,Lipstain,"Lips, Lipstain, Makeup",,6.99,,lips|sooo-pro,1,14,86,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
87,sooo-pro-lip-gloss,Sooo Pro Lip Gloss,active,Sooo Pro,Lip Gloss,"Lips, Lip Gloss, Makeup",,10.0,,lips|sooo-pro,1,5,87,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
90,omaricode-skin-mist-100ml,Omaricode Skin Mist 100Ml,active,Omaricode,Uncategorized,Uncategorized,,16.0,,omaricode,1,2,90,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
91,omaricode-face-primer-30ml,Omaricode Hydrating Face Primer 30Ml,draft,Omaricode,Primers,"Face, Makeup, Primers",,1.0,,face|omaricode,1,1,91,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
92,omaricode-lip-moisturizing-oil,Omaricode Lip Moisturizing Oil,active,Omaricode,Lip Gloss,"Lips, Lip Gloss, Makeup",,10.0,,lips|omaricode,1,2,92,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
106,wynkkk-beauty-8-in-1-lashes,Wynkkk Beauty 20 In 1 Lashes,active,Wynkk Beauty,Eyelash Extensions &amp; Glue,"Eyes, Eyelash Extensions &amp; Glue, Makeup",,25.0,,eyes|wynkk-beauty,1,6,106,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
107,wynkkk-beauty-10-in-1-lashes,Wynkkk Beauty 10 In 1 Lashes,draft,Wynkk Beauty,Eyelash Extensions &amp; Glue,"Eyes, Eyelash Extensions &amp; Glue, Makeup, Lashes",,15.0,,eyes|wynkk-beauty,2,2,107,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
108,wynkkk-beauty-16-in-1,Wynkkk Beauty 16 In 1 Lashes,active,Wynkk Beauty,Eyelash Extensions &amp; Glue,"Eyes, Eyelash Extensions &amp; Glue, Makeup",,25.0,,eyes|wynkk-beauty,1,2,108,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
109,yglam-beauty-pigment,Yglam Beauty Pigment,active,Yglam,"Pigment, Glitter &amp; Base","Eyes, Pigment, Glitter &amp; Base, Makeup",343-1-item,5.0,,eyes|yglam,1,15,109,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
112,becharm-ageless-skin-booster-concealer,Becharm Ageless Skin Booster Concealer Palette,draft,Becharm,Concealer,"Face, Concealer, Makeup",,17.0,,face|becharm,1,1,112,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
113,classic-makeup-lip-gloss-clear,Classic Makeup Lip Gloss clear,active,Classic Makeup,Lip Gloss,"Lips, Lip Gloss, Makeup",,5.0,,lips|classic-makeup,1,1,113,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
117,paula-beauty-water-proof-eye-liner,Paula Beauty Purple Eye Pencil,active,Paula Beauty,Eyeliner,"Eyes, Eyeliner, Makeup",326-1-item,5.0,,eyes|paula-beauty,2,1,117,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
118,luzta-eye-shadow,Luzta Eye Shadow,active,Luzta,Eyeshadow,"Eyes, Eyeshadow, Makeup",,23.0,,eyes|luzta,1,2,118,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
120,dammel-browmate-brow-tamer,Dammel Browmate Brow Tamer,active,Dammel,Eyebrow Products,"Eyes, Eyebrow Products, Makeup",,6.0,,eyes|dammel,2,2,120,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
123,vee-beauty-be-my-val-palatte,Vee Beauty Be My Val Palette,draft,Vee Beauty,Eyeshadow,"Eyes, Eyeshadow, Makeup",327-1-item,17.0,,eyes|vee-beauty,1,1,123,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
124,vee-beauty-9-in-1-powder-palatte,Vee Beauty 9 In 1 Powder Palette,active,Vee Beauty,Powder,"Face, Makeup, Powder",328-1-item,16.0,,face|vee-beauty,1,1,124,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
125,vee-beauty-12-in-1-powder-palatte,Vee Beauty 12 In 1 Powder Palette,active,Vee Beauty,Powder,"Face, Makeup, Powder",329-1-item,18.0,,face|vee-beauty,1,1,125,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
126,blossom-african-queen-palatte,Blossom African Queen Palette,draft,Blossom,Eyeshadow,"Eyes, Eyeshadow, Makeup",,16.0,,eyes|blossom,1,1,126,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
127,blossom-her-nude-story-palatte,Blossom Her Nude Story Palette,active,Blossom,Uncategorized,Uncategorized,324-1-item,15.0,,blossom,1,1,127,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
128,blossom-35-color-matte-and-cream,Blossom 35 Color Matte And Cream Eyeshadow Palette,draft,Blossom,Eyeshadow,"Eyes, Eyeshadow, Makeup",,17.0,,eyes|blossom,1,1,128,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
129,blossom-afro-chic-lip-palatte,Blossom Afro Chic Lip Palette,draft,Blossom,Lip Pallet,"Lips, Lip Pallet, Makeup",,15.0,,lips|blossom,1,1,129,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
131,tehila-black-magic-gel-liner,Tehila Black Magic Gel Liner,active,Tehila,Eyeliner,"Eyes, Eyeliner, Makeup",,10.0,,eyes|tehila,1,1,131,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
132,sylvimak-irresistable-eyeshadow-pallatte,Sylvimak Irresistable Eyeshadow Pallatte,active,Sylvimak,Eyeshadow,"Eyes, Eyeshadow, Makeup",325-1-item,17.0,,eyes|sylvimak,1,1,132,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
136,tm-essential-cheek-glaze-palatte,Tm Essentials Cheek Glaze Palatte,draft,TM Essentials,Blushes,"Face, Blushes, Makeup",,15.0,,face|tm-essential,1,1,136,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
146,beauty-by-ad-setting-powder-tawny,Beauty By Ad Setting Powder,active,Beauty by AD,Powder,"Face, Makeup, Powder",,25.0,,face|beauty-by-ad,1,3,146,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
153,merak-cosmetics-angled-brush,Merak Cosmetics Angled Brush,active,Merak,Brushes &amp; Beauty Blenders,Brushes &amp; Beauty Blenders,514-1-item,6.0,,brushes-beauty-blenders|merak,1,1,153,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
154,merak-cosmetics-flat-brush,Merak Cosmetics Flat Brush,active,Merak,Brushes &amp; Beauty Blenders,Brushes &amp; Beauty Blenders,515-1-item,6.0,,brushes-beauty-blenders|merak,1,1,154,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
155,yanga-beauty-angled-flat-brush,Yanga Beauty Angled Flat Brush,active,Yanga Beauty,Brushes &amp; Beauty Blenders,Brushes &amp; Beauty Blenders,316-1-item,5.0,,brushes-beauty-blenders|yanga-beauty,1,1,155,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
156,yanga-beauty-foundation-brush,Yanga Beauty Foundation Brush,active,Yanga Beauty,Brushes &amp; Beauty Blenders,Brushes &amp; Beauty Blenders,317-1-item,5.0,,brushes-beauty-blenders|yanga-beauty,1,1,156,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
159,nuban-beauty-nuban-powder-brush,Nuban Beauty Powder Brush,active,Nuban,Tools &amp; Accessories,"Makeup, Tools &amp; Accessories, Beauty Tools",318-1-item,6.0,,tools-accessories|nuban,1,1,159,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
160,nuban-beauty-11pcs-makeup-brush-set,Nuban Beauty 11Pcs Makeup Brush Set,draft,Nuban,Tools &amp; Accessories,"Makeup, Tools &amp; Accessories, Beauty Tools",,1.0,,tools-accessories|nuban,1,1,160,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
161,hegai-esther-flash-pan-highlighter-palatte,Hegai & Esther Flash Pan Highlighter Palette,active,Hegai &amp; Esther,Highlight &amp; Contour,"Face, Highlight &amp; Contour, Makeup",,15.0,,face|hegai-esther,1,1,161,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
162,hegai-esther-makeup-seal-it,Hegai & Esther Makeup Seal It,active,Hegai &amp; Esther,Tools &amp; Accessories,"Makeup, Tools &amp; Accessories, Beauty Tools",319-1-item,6.0,,tools-accessories|hegai-esther,1,1,162,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
164,msmetics-moisture-bomb-50ml,Msmetics Moisture Bomb 50Ml,active,Msmetics,Primers,"Face, Makeup, Primers",320-1-item,15.0,,face|msmetics,1,1,164,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
165,msmetics-moisture-potion-50ml,Msmetics Moisture Potion 50Ml,active,Msmetics,Primers,"Face, Makeup, Primers",321-1-item,15.0,,face|msmetics,1,1,165,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
166,msmetics-aqua-grip-primer-50ml,Msmetics Aqua Grip Primer 15ML,active,Msmetics,Primers,"Face, Makeup, Primers",322-1-item,8.0,,face|msmetics,1,1,166,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
178,ferrarucci-all-nighter-fixed-spray-200ml,Ferrarucci All Nighter Fixer Spray 200Ml,active,Ferrarucci,Setting &amp; Finishing Spray,"Face, Makeup, Setting &amp; Finishing Spray",312-1-item,15.0,,face|ferrarucci,1,1,178,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
180,sooo-pro-hydrating-mist-setting-spray-150ml,Sooo Pro Hydrating Mist Setting Spray 150Ml,active,Sooo Pro,Setting &amp; Finishing Spray,"Face, Makeup, Setting &amp; Finishing Spray",313-1-item,17.0,,face|sooo-pro,1,1,180,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
182,juba-cosmetics-setting-spray-150ml,Juba Cosmetics Setting Spray 150Ml,active,Juba Cosmetics,Setting &amp; Finishing Spray,"Face, Makeup, Setting &amp; Finishing Spray",314-1-item,17.0,,face|juba-cosmetics,1,1,182,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
183,omaricode-bedew-hydrating-serum-30ml,Omaricode Bedew Hydrating Serum 30Ml,active,Omaricode,Serums &amp; Treatment,"Skin Care, Serums &amp; Treatment",315-1-item,15.0,,serums-treatment|omaricode,1,1,183,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
184,omaricode-hydrating-moisture-maximize-50ml,Omaricode Hydrating Moisture Maximize 50Ml,active,Omaricode,Moisturizers &amp; Cream,"Skin Care, Moisturizers &amp; Cream",305-1-item,15.0,,moisturizers|omaricode,1,1,184,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
186,ocosmetics-brush-bath,O'Cosmetics Brush Bath,active,O'Cosmetics,Tools &amp; Accessories,"Makeup, Tools &amp; Accessories, Beauty Tools",513-1-item,10.0,,tools-accessories|ocosmetics,1,1,186,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
187,rummel-stay-matte-spray,Rummel Stay Matte Spray,draft,Rimmel,Setting &amp; Finishing Spray,"Face, Makeup, Setting &amp; Finishing Spray",,1.0,,face|rimmel,1,1,187,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
188,rimmel-stay-matte-primer,Rimmel Stay Matte Primer,active,Rimmel,Primers,"Face, Makeup, Primers",306-1-item,12.0,,face|rimmel,1,1,188,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
189,skin-by-zaron-vitamin-c-brightening-body-wash,Skin By Zaron Vitamin C Brightening Body Wash,active,Zaron,Body Wash,"Bath &amp; Body Care, Body Wash",307-1-item,20.0,,body-wash|zaron,1,1,189,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
190,skin-by-zaron-micellar-cleansing-water,Skin By Zaron Micellar Cleansing Water,draft,Zaron,Face,"Face, Skin Care, Face Cleansers &amp; Wash",,1.0,,face|face-cleansers-wash|zaron,1,1,190,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
191,skin-by-zaron-papaya-brightening-body-wash,Skin By Zaron Papaya Brightening Body Wash,draft,Zaron,Body Wash,"Bath &amp; Body Care, Body Wash",,18.0,,body-wash|zaron,1,1,191,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
192,skin-by-zaron-brightening-toner,Skin By Zaron Brightening Toner,active,Zaron,"Face Toners, Mist &amp; Essence","Skin Care, Face Toners, Mist &amp; Essence",308-1-item,15.0,,face-toners-mist-essence|zaron,1,1,192,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
193,skin-by-zaron-vitamin-brightening-lotion,Skin By Zaron Vitamin Brightening Lotion,active,Zaron,Body Lotion,"Bath &amp; Body Care, Body Lotion",309-1-item,20.0,,body-lotion|zaron,1,1,193,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
194,skin-by-zaron-retinol-serum,Skin By Zaron Retinol Serum,active,Zaron,Serums &amp; Treatment,"Skin Care, Serums &amp; Treatment",310-1-item,12.0,,serums-treatment|zaron,1,1,194,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
195,skin-by-zaron-vitamin-serum,Skin By Zaron Vitamin C Serum,active,Zaron,Face,"Face, Skin Care, Serums &amp; Treatment",,13.0,,face|serums-treatment|zaron,1,1,195,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
196,skin-by-zaron-exfoliating-brightening-face-wash,Skin By Zaron Exfoliating &amp; Brightening Face Wash,active,Zaron,Face Cleansers &amp; Wash,"Skin Care, Face Cleansers &amp; Wash, Exfoliators, Peels &amp; Scrubs",311-1-item,16.0,,face-cleansers-wash|exfoliators-peels-scrubs|zaron,1,1,196,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
197,skin-by-zaron-acne-control-glow-wash,Skin By Zaron Acne Control Glow Wash,active,Zaron,Face Cleansers &amp; Wash,"Skin Care, Face Cleansers &amp; Wash",304-1-item,16.0,,face-cleansers-wash|zaron,1,1,197,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
199,zaron-long-wear-gel-eyeliner,Zaron Long Wear Gel Eyeliner,draft,Zaron,Eyeliner,"Eyes, Eyeliner, Makeup",297-1-item,10.0,,eyes|zaron,1,1,199,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
200,zaron-slain-regenerating-hydrating-serum,Zaron Slain Regenerating Hydrating Serum,active,Zaron,Face,"Face, Serums &amp; Treatment",298-1-item,10.0,,face|serums-treatment|zaron,1,1,200,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
201,zaron-lengthening-mascara,Zaron Lengthening Mascara,active,Zaron,Mascara,"Eyes, Face, Mascara, Makeup",299-1-item,8.0,,eyes|face|zaron,1,1,201,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
202,zaron-4in1mascara,Zaron 4in1Mascara,active,Zaron,Mascara,"Eyes, Face, Mascara, Makeup",300-1-item,10.0,,eyes|face|zaron,1,1,202,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
203,zaron-liquid-eyeliner,Zaron Liquid Eyeliner,active,Zaron,Eyeliner,"Eyes, Eyeliner, Makeup",301-1-item,10.0,,eyes|zaron,1,1,203,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
204,zaron-sheer-powder-brush,Zaron Sheer Powder Brush,active,Zaron,Face,"Face, Makeup, Tools &amp; Accessories, Beauty Tools",511-1-item,5.0,,face|tools-accessories|zaron,1,1,204,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
207,wynkkk-beauty-single-lashes,Wynkkk Beauty Single Lashes,draft,Wynkk Beauty,Eyelash Extensions &amp; Glue,"Eyes, Eyelash Extensions &amp; Glue, Makeup",,1.0,,eyes|wynkk-beauty,1,1,207,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
208,wynkkk-beauty-lashes-at-first-sight-16ml,Wynkkk Beauty Lashes At First Sight 16Ml,draft,Wynkk Beauty,Eyelash Extensions &amp; Glue,"Eyes, Eyelash Extensions &amp; Glue, Makeup",512-1-item,35.0,,eyes|wynkk-beauty,1,1,208,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
209,wynkkk-beauty-alabaster-box-16ml,Wynkk Beauty Alabaster Box 16Ml,draft,Wynkk Beauty,Eyelash Extensions &amp; Glue,"Eyes, Eyelash Extensions &amp; Glue, Makeup",,1.0,,eyes|wynkk-beauty,1,1,209,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
213,yn216-led-light,Yn216 Led Light,active,,Tools &amp; Accessories,"Makeup, Tools &amp; Accessories, Beauty Tools",302-1-item,100.0,,tools-accessories,1,1,213,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
214,led-600-pro,Led 600 Pro with Tripod stand,active,,Tools &amp; Accessories,"Makeup, Tools &amp; Accessories, Beauty Tools",303-1-item,55.0,,tools-accessories,1,1,214,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
218,pvc-bag,Pvc Bag,active,,Tools &amp; Accessories,"Makeup, Tools &amp; Accessories, Beauty Tools",294-1-item,6.0,,tools-accessories,1,1,218,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
220,olay-itch-dry-skin-body-wash-20fl-oz-591ml,Olay Itch Dry Skin Body Wash 20Fl Oz /591Ml,draft,Olay,Body Wash,"Bath &amp; Body Care, Body Wash",,1.0,,body-wash|olay,1,1,220,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
223,olay-shea-butter-body-wash-17floz-502ml,Olay Shea Butter Body Wash 17Floz/ 502Ml,active,Olay,Body Wash,"Bath &amp; Body Care, Body Wash",575-1-item,17.0,,body-wash|olay,1,1,223,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
224,olay-vitamin-c-hydrating-body-wash-20fl-oz-591ml,Olay Vitamin C Hydrating Body Wash 20Fl Oz /591Ml,draft,Olay,Body Wash,"Bath &amp; Body Care, Body Wash",295-1-item,20.0,,body-wash|olay,1,1,224,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
226,olay-retinol-body-wash-20floz-591ml,Olay Retinol Body Wash 20Floz/591Ml,active,Olay,Body Wash,"Bath &amp; Body Care, Body Wash",296-1-item,20.0,,body-wash|olay,1,1,226,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
227,olay-vitamin-c-brightening-lotion-17floz-502ml,Olay Vitamin C Brightening Lotion 17Floz/502Ml,draft,Olay,Body Lotion,"Bath &amp; Body Care, Body Lotion",287-1-item,20.0,,body-lotion|olay,3,1,227,product title (no per-product SEO override found in source),"product description, truncated (no per-product SEO override found in source)"
